2022-06-10 16:24:05.232,Duty Cycle (%),LDR 0
2022-06-10 16:24:05.332,0,0
2022-06-10 16:24:06.330,0,0
2022-06-10 16:24:07.332,0,0
2022-06-10 16:24:08.332,0,0
2022-06-10 16:24:09.333,0,0
2022-06-10 16:24:10.330,0,0
2022-06-10 16:24:11.333,0,0
2022-06-10 16:24:12.332,0,0
2022-06-10 16:24:13.331,0,0
2022-06-10 16:24:14.340,0,0
2022-06-10 16:24:15.333,0,0
2022-06-10 16:24:16.431,1,463
2022-06-10 16:24:17.439,1,718
2022-06-10 16:24:18.431,1,736
2022-06-10 16:24:19.433,1,730
2022-06-10 16:24:20.431,1,737
2022-06-10 16:24:21.433,1,733
2022-06-10 16:24:22.432,1,739
2022-06-10 16:24:23.430,1,735
2022-06-10 16:24:24.432,1,725
2022-06-10 16:24:25.431,1,736
2022-06-10 16:24:26.433,1,742
2022-06-10 16:24:27.532,2,1115
2022-06-10 16:24:28.530,2,1123
2022-06-10 16:24:29.530,2,1121
2022-06-10 16:24:30.530,2,1129
2022-06-10 16:24:31.530,2,1119
2022-06-10 16:24:32.532,2,1119
2022-06-10 16:24:33.531,2,1118
2022-06-10 16:24:34.533,2,1126
2022-06-10 16:24:35.534,2,1118
2022-06-10 16:24:36.537,2,1121
2022-06-10 16:24:37.535,2,1117
2022-06-10 16:24:38.633,3,1371
2022-06-10 16:24:39.632,3,1363
2022-06-10 16:24:40.633,3,1372
2022-06-10 16:24:41.631,3,1369
2022-06-10 16:24:42.634,3,1361
2022-06-10 16:24:43.633,3,1360
2022-06-10 16:24:44.633,3,1376
2022-06-10 16:24:45.633,3,1366
2022-06-10 16:24:46.631,3,1370
2022-06-10 16:24:47.632,3,1367
2022-06-10 16:24:48.632,3,1372
2022-06-10 16:24:49.733,4,1531
2022-06-10 16:24:50.732,4,1533
2022-06-10 16:24:51.734,4,1530
2022-06-10 16:24:52.734,4,1524
2022-06-10 16:24:53.734,4,1531
2022-06-10 16:24:54.731,4,1542
2022-06-10 16:24:55.731,4,1529
